age,default,balance,housing,loan,day_of_week,month,duration,campaign,pdays,previous,y,contact_bin,marital_married,marital_single,poutcome_nonexistent,poutcome_other,poutcome_success,job_freq,education_ord
4.07753744390572,0,7.670428522190693,1,0,5,5,5.568344503761097,0.6931471805599453,0.0,0.0,0,2,1,0,1,0,0,0.20919687686624935,2
3.8066624897703196,0,3.4011973816621555,1,0,5,5,5.0238805208462765,0.6931471805599453,0.0,0.0,0,2,0,1,1,0,0,0.16803432792904383,1
3.5263605246161616,0,1.0986122886681096,1,1,5,5,4.343805421853684,0.6931471805599453,0.0,0.0,0,2,1,0,1,0,0,0.03289022582999712,1
3.8712010109078907,0,7.317876198626496,1,0,5,5,4.532599493153256,0.6931471805599453,0.0,0.0,0,2,1,0,1,0,0,0.22162748003804383,1
3.5263605246161616,0,0.6931471805599453,0,0,5,5,5.293304824724492,0.6931471805599453,0.0,0.0,0,2,0,1,1,0,0,0.22162748003804383,1
3.58351893845611,0,5.44673737166631,1,0,5,5,4.941642422609304,0.6931471805599453,0.0,0.0,0,2,1,0,1,0,0,0.20919687686624935,2
3.367295829986474,0,6.104793232414985,1,1,5,5,5.384495062789089,0.6931471805599453,0.0,0.0,0,2,0,1,1,0,0,0.20919687686624935,2
3.7612001156935624,1,1.0986122886681096,1,0,5,5,5.942799375126701,0.6931471805599453,0.0,0.0,0,2,0,0,1,0,0,0.03289022582999712,2
4.07753744390572,0,4.804021044733257,1,0,5,5,3.9318256327243257,0.6931471805599453,0.0,0.0,0,2,1,0,1,0,0,0.05007630886288735,0
3.784189633918261,0,6.386879319362645,1,0,5,5,4.02535169073515,0.6931471805599453,0.0,0.0,0,2,0,1,1,0,0,0.16803432792904383,1
3.7376696182833684,0,5.602118820879701,1,0,5,5,5.407171771460119,0.6931471805599453,0.0,0.0,0,2,0,0,1,0,0,0.11437482028709828,1
3.4011973816621555,0,5.968707559985366,1,0,5,5,4.927253685157205,0.6931471805599453,0.0,0.0,0,2,0,1,1,0,0,0.11437482028709828,1
3.9889840465642745,0,1.9459101490553132,1,0,5,5,6.249975242259483,0.6931471805599453,0.0,0.0,0,2,1,0,1,0,0,0.16803432792904383,1
4.07753744390572,0,4.276666119016055,1,0,5,5,4.276666119016055,0.6931471805599453,0.0,0.0,0,2,1,0,1,0,0,0.16803432792904383,1
